Source,Target,Weight
00-0020531,00-0021547,3
00-0021206,00-0022084,3
00-0016919,00-0019596,1
00-0016919,00-0022943,1
00-0019596,00-0022943,7
00-0020531,00-0022942,2
00-0021547,00-0022942,15
00-0021206,00-0022921,2
00-0022084,00-0022921,6
00-0022787,00-0022923,2
00-0019596,00-0023662,4
00-0022943,00-0023662,4
00-0020531,00-0023564,4
00-0021547,00-0023564,5
00-0022942,00-0023564,5
00-0021678,00-0022045,2
00-0021678,00-0022127,12
00-0022045,00-0022127,2
00-0022924,00-0023465,11
00-0023436,00-0023500,7
00-0020531,00-0024110,2
00-0021678,00-0023921,8
00-0021678,00-0024268,2
00-0022045,00-0023921,1
00-0022045,00-0024268,1
00-0022127,00-0023921,8
00-0022127,00-0024268,2
00-0023921,00-0024268,2
00-0022924,00-0022999,1
00-0022999,00-0023465,1
00-0023436,00-0024221,7
00-0023436,00-0024389,6
00-0023500,00-0024221,9
00-0023500,00-0024389,7
00-0024221,00-0024389,7
00-0023459,00-0023742,2
00-0024226,00-0024334,6
00-0019596,00-0023467,1
00-0022943,00-0023467,1
00-0023467,00-0023662,1
00-0019714,00-0021206,1
00-0020679,00-0023436,2
00-0020679,00-0023500,3
00-0020679,00-0024221,3
00-0020679,00-0024389,3
00-0022787,00-0025460,5
00-0022999,00-0023459,9
00-0022999,00-0023742,1
00-0022999,00-0024061,1
00-0022999,00-0024330,2
00-0023459,00-0024061,1
00-0023459,00-0024330,2
00-0023742,00-0024061,1
00-0023742,00-0024330,1
00-0024061,00-0024330,1
00-0023252,00-0025418,1
00-0023252,00-0025555,1
00-0025418,00-0025555,1
00-0010346,00-0026345,3
00-0019714,00-0026144,3
00-0021206,00-0026153,2
00-0021429,00-0023682,1
00-0021547,00-0026069,4
00-0022942,00-0026069,4
00-0023564,00-0026069,3
00-0021678,00-0026201,4
00-0022127,00-0026201,4
00-0023921,00-0026201,4
00-0022084,00-0026289,2
00-0022921,00-0026289,3
00-0022999,00-0026176,7
00-0023459,00-0026176,9
00-0024330,00-0026176,1
00-0023560,00-0025549,2
00-0023560,00-0026189,2
00-0023560,00-0026257,1
00-0025549,00-0026189,6
00-0025549,00-0026257,1
00-0026189,00-0026257,1
00-0023578,00-0025389,2
00-0023578,00-0025430,1
00-0025389,00-0025430,3
00-0024268,00-0025396,2
00-0024268,00-0025612,2
00-0024268,00-0026197,4
00-0025396,00-0025612,1
00-0025396,00-0026197,2
00-0025612,00-0026197,1
00-0024417,00-0026158,8
00-0024535,00-0026143,6
00-0024535,00-0026224,5
00-0026143,00-0026224,6
00-0025399,00-0026151,1
00-0025418,00-0026184,3
00-0025418,00-0026282,1
00-0026184,00-0026282,1
00-0004091,00-0023645,1
00-0007091,00-0023742,2
00-0007091,00-0026373,2
00-0023742,00-0026373,2
00-0019596,00-0026293,7
00-0019596,00-0026625,5
00-0019596,00-0027057,2
00-0019596,00-0027150,10
00-0022943,00-0026293,2
00-0022943,00-0026625,1
00-0022943,00-0027057,1
00-0022943,00-0027150,2
00-0026293,00-0026625,3
00-0026293,00-0027057,2
00-0026293,00-0027150,7
00-0026625,00-0027057,2
00-0026625,00-0027150,5
00-0027057,00-0027150,2
00-0020679,00-0026986,1
00-0023436,00-0026986,4
00-0023500,00-0026986,6
00-0024221,00-0026986,6
00-0024389,00-0026986,4
00-0021206,00-0025708,1
00-0025708,00-0026153,2
00-0021429,00-0027103,1
00-0021678,00-0027139,3
00-0022127,00-0027139,3
00-0023921,00-0027139,3
00-0026201,00-0027139,2
00-0022787,00-0027109,4
00-0025460,00-0027109,3
00-0022864,00-0024243,3
00-0022864,00-0027125,3
00-0024243,00-0027125,3
00-0022924,00-0026901,4
00-0022924,00-0026957,5
00-0023465,00-0026901,4
00-0023465,00-0026957,4
00-0026901,00-0026957,3
00-0023534,00-0023662,2
00-0023534,00-0023740,1
00-0023534,00-0026213,3
00-0023662,00-0023740,1
00-0023662,00-0026213,4
00-0023740,00-0026213,1
00-0023682,00-0025399,1
00-0023894,00-0026300,2
00-0024110,00-0024264,2
00-0024110,00-0026019,1
00-0024110,00-0026898,2
00-0024264,00-0026019,4
00-0024264,00-0026898,2
00-0026019,00-0026898,1
00-0024226,00-0025418,2
00-0024226,00-0026184,7
00-0025389,00-0026157,1
00-0025389,00-0026498,7
00-0025430,00-0026157,1
00-0025430,00-0026498,2
00-0026157,00-0026498,1
00-0025549,00-0026995,5
00-0025549,00-0027029,6
00-0026189,00-0026995,4
00-0026189,00-0027029,5
00-0026995,00-0027029,5
00-0026144,00-0026393,6
00-0026144,00-0026983,4
00-0026144,00-0027089,3
00-0026144,00-0027135,4
00-0026393,00-0026983,4
00-0026393,00-0027089,3
00-0026393,00-0027135,4
00-0026983,00-0027089,3
00-0026983,00-0027135,4
00-0027089,00-0027135,6
00-0026158,00-0026999,1
00-0026158,00-0027060,2
00-0026999,00-0027060,1
00-0026164,00-0027006,5
00-0026164,00-0027061,4
00-0027006,00-0027061,6
00-0007091,00-0025399,1
00-0007091,00-0027866,1
00-0007091,00-0027891,1
00-0023742,00-0025399,4
00-0023742,00-0027866,1
00-0023742,00-0027891,2
00-0025399,00-0026373,2
00-0025399,00-0027866,1
00-0025399,00-0027891,4
00-0026373,00-0027866,1
00-0026373,00-0027891,2
00-0027866,00-0027891,1
00-0019596,00-0026019,3
00-0019596,00-0027010,1
00-0019596,00-0027656,11
00-0026019,00-0026293,2
00-0026019,00-0026625,2
00-0026019,00-0027010,1
00-0026019,00-0027057,1
00-0026019,00-0027150,3
00-0026019,00-0027656,3
00-0026293,00-0027010,1
00-0026293,00-0027656,5
00-0026625,00-0027010,1
00-0026625,00-0027656,4
00-0027010,00-0027057,1
00-0027010,00-0027150,1
00-0027010,00-0027656,1
00-0027057,00-0027656,1
00-0027150,00-0027656,8
00-0020531,00-0024424,1
00-0020531,00-0026544,4
00-0020531,00-0027531,3
00-0020531,00-0027696,5
00-0024424,00-0026544,1
00-0024424,00-0027531,1
00-0024424,00-0027696,1
00-0026544,00-0027531,3
00-0026544,00-0027696,3
00-0027531,00-0027696,3
00-0020679,00-0025389,4
00-0020679,00-0025430,1
00-0020679,00-0026498,4
00-0021429,00-0024270,1
00-0021429,00-0026932,1
00-0021429,00-0027873,4
00-0024270,00-0026932,1
00-0024270,00-0027873,1
00-0026932,00-0027873,5
00-0021547,00-0027864,5
00-0022942,00-0027864,5
00-0023564,00-0027864,3
00-0026069,00-0027864,2
00-0021678,00-0027902,7
00-0022127,00-0027902,8
00-0023921,00-0027902,4
00-0026201,00-0027902,2
00-0022084,00-0024417,3
00-0022084,00-0026158,3
00-0022084,00-0027675,3
00-0024417,00-0027675,3
00-0026158,00-0027675,4
00-0022921,00-0023645,1
00-0022921,00-0027691,4
00-0022921,00-0027825,4
00-0023645,00-0026289,1
00-0023645,00-0027691,1
00-0023645,00-0027825,1
00-0026289,00-0027691,1
00-0026289,00-0027825,1
00-0027691,00-0027825,4
00-0022924,00-0027685,4
00-0022924,00-0027793,9
00-0023465,00-0027685,4
00-0023465,00-0027793,6
00-0026901,00-0027685,3
00-0026901,00-0027793,3
00-0026957,00-0027685,3
00-0026957,00-0027793,4
00-0027685,00-0027793,4
00-0022943,00-0027688,3
00-0023436,00-0025396,3
00-0023436,00-0027887,1
00-0023500,00-0025396,3
00-0023500,00-0027887,1
00-0024221,00-0025396,3
00-0024221,00-0027887,1
00-0024389,00-0025396,3
00-0024389,00-0027887,1
00-0025396,00-0026986,3
00-0025396,00-0027887,1
00-0026986,00-0027887,1
00-0023487,00-0026144,2
00-0023487,00-0026393,2
00-0023487,00-0026983,1
00-0023487,00-0027089,1
00-0023487,00-0027135,1
00-0023560,00-0026995,1
00-0023560,00-0027029,1
00-0023560,00-0027725,1
00-0023560,00-0027758,1
00-0025549,00-0027725,3
00-0025549,00-0027758,6
00-0026189,00-0027725,3
00-0026189,00-0027758,4
00-0026995,00-0027725,3
00-0026995,00-0027758,4
00-0027029,00-0027725,3
00-0027029,00-0027758,5
00-0027725,00-0027758,3
00-0023682,00-0026844,1
00-0023682,00-0027861,4
00-0026844,00-0027861,1
00-0023894,00-0027325,1
00-0023894,00-0027450,1
00-0023894,00-0027654,1
00-0026300,00-0027325,2
00-0026300,00-0027450,2
00-0026300,00-0027654,2
00-0027325,00-0027450,3
00-0027325,00-0027654,3
00-0027450,00-0027654,3
00-0024110,00-0027321,1
00-0024264,00-0027321,2
00-0026898,00-0027321,3
00-0024268,00-0024334,2
00-0024268,00-0027809,1
00-0024334,00-0026197,2
00-0024334,00-0027809,1
00-0026197,00-0027809,2
00-0025394,00-0027796,4
00-0025708,00-0027681,1
00-0026153,00-0027681,4
00-0025825,00-0026164,3
00-0025825,00-0027006,3
00-0025825,00-0027061,2
00-0025825,00-0027816,2
00-0026164,00-0027816,2
00-0027006,00-0027816,2
00-0027061,00-0027816,2
00-0026035,00-0027732,4
00-0026035,00-0027854,3
00-0027732,00-0027854,2
00-0026516,00-0027290,1
00-0026516,00-0027690,2
00-0026516,00-0027874,2
00-0026516,00-0027876,2
00-0027290,00-0027690,1
00-0027290,00-0027874,1
00-0027290,00-0027876,1
00-0027690,00-0027874,4
00-0027690,00-0027876,2
00-0027874,00-0027876,2
00-0026852,00-0027215,5
00-0007091,00-0025825,1
00-0007091,00-0026164,2
00-0007091,00-0027006,2
00-0007091,00-0027061,2
00-0007091,00-0027136,1
00-0007091,00-0027816,1
00-0025825,00-0027136,1
00-0026164,00-0027136,1
00-0027006,00-0027136,1
00-0027061,00-0027136,1
00-0027136,00-0027816,1
00-0019596,00-0027994,4
00-0019596,00-0028011,4
00-0026019,00-0027994,2
00-0026019,00-0028011,2
00-0026293,00-0027994,2
00-0026293,00-0028011,2
00-0026625,00-0027994,1
00-0026625,00-0028011,1
00-0027150,00-0027994,4
00-0027150,00-0028011,4
00-0027656,00-0027994,4
00-0027656,00-0028011,4
00-0027994,00-0028011,4
00-0019714,00-0021429,2
00-0019714,00-0026393,2
00-0019714,00-0026983,2
00-0019714,00-0027089,1
00-0019714,00-0027135,2
00-0019714,00-0028063,2
00-0019714,00-0028086,2
00-0021429,00-0026144,2
00-0021429,00-0026393,2
00-0021429,00-0026983,2
00-0021429,00-0027089,1
00-0021429,00-0027135,2
00-0021429,00-0028063,2
00-0021429,00-0028086,2
00-0026144,00-0028063,3
00-0026144,00-0028086,4
00-0026393,00-0028063,4
00-0026393,00-0028086,4
00-0026983,00-0028063,2
00-0026983,00-0028086,2
00-0027089,00-0028063,1
00-0027089,00-0028086,1
00-0027135,00-0028063,2
00-0027135,00-0028086,2
00-0028063,00-0028086,3
00-0020531,00-0027966,8
00-0023564,00-0026544,3
00-0023564,00-0027531,2
00-0023564,00-0027696,3
00-0023564,00-0027966,3
00-0026544,00-0027966,3
00-0027531,00-0027966,2
00-0027696,00-0027966,4
00-0021206,00-0024226,2
00-0021206,00-0026184,3
00-0021547,00-0025424,4
00-0022942,00-0025424,4
00-0025424,00-0026069,1
00-0025424,00-0027864,4
00-0021678,00-0028009,4
00-0022127,00-0028009,4
00-0023921,00-0028009,4
00-0026201,00-0028009,1
00-0027139,00-0027902,2
00-0027139,00-0028009,2
00-0027902,00-0028009,4
00-0022084,00-0027060,1
00-0022084,00-0027996,3
00-0022084,00-0028118,2
00-0024417,00-0027060,1
00-0024417,00-0027996,2
00-0024417,00-0028118,2
00-0026158,00-0027996,4
00-0026158,00-0028118,4
00-0027060,00-0027675,1
00-0027060,00-0027996,1
00-0027060,00-0028118,1
00-0027675,00-0027996,3
00-0027675,00-0028118,3
00-0027996,00-0028118,4
00-0022684,00-0024264,1
00-0022684,00-0026035,1
00-0022684,00-0027732,1
00-0022684,00-0027854,1
00-0022684,00-0027985,1
00-0024264,00-0026035,2
00-0024264,00-0027732,1
00-0024264,00-0027854,3
00-0024264,00-0027985,3
00-0026035,00-0027985,2
00-0027732,00-0027985,1
00-0027854,00-0027985,3
00-0022787,00-0028090,3
00-0025460,00-0028090,1
00-0027109,00-0028090,2
00-0022803,00-0024110,3
00-0022803,00-0027265,5
00-0024110,00-0027265,3
00-0022824,00-0023436,1
00-0022824,00-0023500,3
00-0022824,00-0024221,3
00-0022824,00-0024389,1
00-0022824,00-0025396,1
00-0022824,00-0025415,2
00-0022824,00-0026986,4
00-0022824,00-0027974,3
00-0022824,00-0028149,3
00-0023436,00-0025415,1
00-0023436,00-0027974,2
00-0023436,00-0028149,2
00-0023500,00-0025415,2
00-0023500,00-0027974,4
00-0023500,00-0028149,4
00-0024221,00-0025415,2
00-0024221,00-0027974,4
00-0024221,00-0028149,4
00-0024389,00-0025415,1
00-0024389,00-0027974,2
00-0024389,00-0028149,2
00-0025396,00-0025415,1
00-0025396,00-0027974,2
00-0025396,00-0028149,2
00-0025415,00-0026986,2
00-0025415,00-0027974,2
00-0025415,00-0028149,2
00-0026986,00-0027974,4
00-0026986,00-0028149,4
00-0027974,00-0028149,5
00-0022864,00-0027948,1
00-0022864,00-0028409,1
00-0024243,00-0027948,3
00-0024243,00-0028409,1
00-0027125,00-0027948,1
00-0027125,00-0028409,1
00-0027948,00-0028409,3
00-0022921,00-0027943,3
00-0022921,00-0028074,2
00-0027691,00-0027943,3
00-0027691,00-0028074,2
00-0027825,00-0027943,3
00-0027825,00-0028074,2
00-0027943,00-0028074,2
00-0022943,00-0026739,2
00-0022943,00-0026997,1
00-0022943,00-0027997,2
00-0026739,00-0026997,1
00-0026739,00-0027688,2
00-0026739,00-0027997,2
00-0026997,00-0027688,1
00-0026997,00-0027997,1
00-0027688,00-0027997,2
00-0022999,00-0028002,5
00-0023459,00-0028002,11
00-0026176,00-0028002,6
00-0023578,00-0026345,1
00-0023645,00-0025418,7
00-0023645,00-0026153,7
00-0023645,00-0027583,3
00-0023645,00-0027681,3
00-0023645,00-0027939,7
00-0025418,00-0026153,7
00-0025418,00-0027583,3
00-0025418,00-0027681,3
00-0025418,00-0027939,9
00-0026153,00-0027583,3
00-0026153,00-0027939,7
00-0027583,00-0027681,3
00-0027583,00-0027939,3
00-0027681,00-0027939,3
00-0023682,00-0026151,2
00-0023682,00-0028097,2
00-0026151,00-0027861,2
00-0026151,00-0028097,2
00-0027861,00-0028097,4
00-0024268,00-0025708,3
00-0024268,00-0028112,2
00-0024334,00-0025708,1
00-0024334,00-0028112,1
00-0025708,00-0026197,1
00-0025708,00-0028112,4
00-0026197,00-0028112,1
00-0024535,00-0027944,3
00-0024535,00-0028083,2
00-0026143,00-0027944,10
00-0026143,00-0028083,4
00-0026224,00-0027944,4
00-0026224,00-0028083,4
00-0027944,00-0028083,4
00-0025394,00-0027950,4
00-0025394,00-0027981,6
00-0027796,00-0027950,3
00-0027796,00-0027981,3
00-0027950,00-0027981,4
00-0025399,00-0028434,5
00-0026373,00-0028434,1
00-0027891,00-0028434,3
00-0025549,00-0026578,1
00-0025549,00-0027722,1
00-0025549,00-0028087,2
00-0026189,00-0026578,1
00-0026189,00-0027722,1
00-0026189,00-0028087,2
00-0026578,00-0026995,1
00-0026578,00-0027029,1
00-0026578,00-0027722,1
00-0026578,00-0027725,1
00-0026578,00-0027758,1
00-0026578,00-0028087,1
00-0026995,00-0027722,1
00-0026995,00-0028087,2
00-0027029,00-0027722,1
00-0027029,00-0028087,2
00-0027722,00-0027725,1
00-0027722,00-0027758,1
00-0027722,00-0028087,1
00-0027725,00-0028087,2
00-0027758,00-0028087,2
00-0026289,00-0026852,1
00-0026289,00-0027215,1
00-0026289,00-0028093,1
00-0026852,00-0028093,4
00-0027215,00-0028093,4
00-0026300,00-0028042,1
00-0026300,00-0028125,1
00-0027325,00-0028042,2
00-0027325,00-0028125,1
00-0027450,00-0028042,2
00-0027450,00-0028125,1
00-0027654,00-0028042,2
00-0027654,00-0028125,1
00-0028042,00-0028125,1
00-0026500,00-0026898,1
00-0026500,00-0027321,1
00-0026500,00-0028064,1
00-0026500,00-0028091,1
00-0026898,00-0028064,2
00-0026898,00-0028091,2
00-0027321,00-0028064,5
00-0027321,00-0028091,5
00-0028064,00-0028091,6
00-0026516,00-0028067,1
00-0026516,00-0028142,1
00-0027690,00-0028067,2
00-0027690,00-0028142,3
00-0027874,00-0028067,3
00-0027874,00-0028142,7
00-0027876,00-0028067,1
00-0027876,00-0028142,1
00-0028067,00-0028142,3
00-0026932,00-0027057,4
00-0026932,00-0027918,3
00-0026932,00-0027942,5
00-0026932,00-0027973,5
00-0027057,00-0027873,4
00-0027057,00-0027918,3
00-0027057,00-0027942,5
00-0027057,00-0027973,5
00-0027873,00-0027918,3
00-0027873,00-0027942,4
00-0027873,00-0027973,4
00-0027918,00-0027942,3
00-0027918,00-0027973,3
00-0027942,00-0027973,8
00-0007091,00-0029708,1
00-0026164,00-0029708,2
00-0027006,00-0029708,2
00-0027061,00-0029708,1
00-0010346,00-0023853,1
00-0010346,00-0027573,1
00-0010346,00-0027658,1
00-0010346,00-0027690,2
00-0010346,00-0027874,4
00-0010346,00-0028142,4
00-0010346,00-0029682,4
00-0010346,00-0029683,4
00-0023853,00-0027573,1
00-0023853,00-0027658,1
00-0023853,00-0027690,1
00-0023853,00-0027874,1
00-0023853,00-0028142,1
00-0023853,00-0029682,1
00-0023853,00-0029683,1
00-0027573,00-0027658,1
00-0027573,00-0027690,1
00-0027573,00-0027874,1
00-0027573,00-0028142,1
00-0027573,00-0029682,1
00-0027573,00-0029683,1
00-0027658,00-0027690,1
00-0027658,00-0027874,1
00-0027658,00-0028142,1
00-0027658,00-0029682,1
00-0027658,00-0029683,1
00-0027690,00-0029682,2
00-0027690,00-0029683,2
00-0027874,00-0029682,5
00-0027874,00-0029683,4
00-0028142,00-0029682,5
00-0028142,00-0029683,4
00-0029682,00-0029683,4
00-0019596,00-0027647,1
00-0019596,00-0027732,3
00-0019596,00-0028012,1
00-0019596,00-0029239,7
00-0026019,00-0027647,1
00-0026019,00-0027732,1
00-0026019,00-0028012,2
00-0026019,00-0029239,1
00-0027150,00-0027647,2
00-0027150,00-0027732,3
00-0027150,00-0028012,1
00-0027150,00-0029239,6
00-0027647,00-0027656,1
00-0027647,00-0027732,1
00-0027647,00-0027994,1
00-0027647,00-0028011,1
00-0027647,00-0028012,1
00-0027647,00-0029239,1
00-0027656,00-0027732,3
00-0027656,00-0028012,1
00-0027656,00-0029239,6
00-0027732,00-0027994,3
00-0027732,00-0028011,3
00-0027732,00-0028012,1
00-0027732,00-0029239,3
00-0027994,00-0028012,1
00-0027994,00-0029239,3
00-0028011,00-0028012,1
00-0028011,00-0029239,3
00-0028012,00-0029239,1
00-0019714,00-0028825,1
00-0019714,00-0029129,1
00-0021429,00-0028825,1
00-0021429,00-0029129,1
00-0026144,00-0028825,2
00-0026144,00-0029129,3
00-0026393,00-0028825,2
00-0026393,00-0029129,4
00-0026983,00-0028825,1
00-0026983,00-0029129,1
00-0027135,00-0028825,1
00-0027135,00-0029129,1
00-0028063,00-0028825,3
00-0028063,00-0029129,3
00-0028086,00-0028825,2
00-0028086,00-0029129,3
00-0028825,00-0029129,2
00-0020531,00-0028532,2
00-0020531,00-0029205,5
00-0023564,00-0028532,1
00-0023564,00-0029205,2
00-0026544,00-0028532,1
00-0026544,00-0029205,1
00-0027531,00-0028532,1
00-0027531,00-0029205,1
00-0027696,00-0028532,2
00-0027696,00-0029205,3
00-0027966,00-0028532,2
00-0027966,00-0029205,5
00-0028532,00-0029205,2
00-0021678,00-0028114,3
00-0021678,00-0028263,1
00-0021678,00-0029000,5
00-0021678,00-0029004,5
00-0021678,00-0029634,4
00-0022127,00-0028114,3
00-0022127,00-0028263,1
00-0022127,00-0029000,6
00-0022127,00-0029004,5
00-0022127,00-0029634,5
00-0023921,00-0028114,2
00-0023921,00-0028263,1
00-0023921,00-0029000,2
00-0023921,00-0029004,2
00-0023921,00-0029634,2
00-0027139,00-0028114,1
00-0027139,00-0028263,1
00-0027139,00-0029000,1
00-0027139,00-0029004,1
00-0027139,00-0029634,1
00-0027902,00-0028114,3
00-0027902,00-0028263,1
00-0027902,00-0029000,6
00-0027902,00-0029004,5
00-0027902,00-0029634,5
00-0028009,00-0028114,3
00-0028009,00-0028263,1
00-0028009,00-0029000,3
00-0028009,00-0029004,3
00-0028009,00-0029634,3
00-0028114,00-0028263,1
00-0028114,00-0029000,3
00-0028114,00-0029004,3
00-0028114,00-0029634,3
00-0028263,00-0029000,1
00-0028263,00-0029004,1
00-0028263,00-0029634,1
00-0029000,00-0029004,5
00-0029000,00-0029634,5
00-0029004,00-0029634,4
00-0022084,00-0025460,1
00-0022084,00-0029264,1
00-0022084,00-0029388,1
00-0022084,00-0029597,1
00-0024417,00-0025460,1
00-0024417,00-0029264,1
00-0024417,00-0029388,1
00-0024417,00-0029597,2
00-0025460,00-0026158,3
00-0025460,00-0027675,2
00-0025460,00-0027996,3
00-0025460,00-0028118,3
00-0025460,00-0029264,3
00-0025460,00-0029388,2
00-0025460,00-0029597,1
00-0026158,00-0029264,3
00-0026158,00-0029388,2
00-0026158,00-0029597,2
00-0027675,00-0029264,2
00-0027675,00-0029388,2
00-0027675,00-0029597,1
00-0027996,00-0029264,3
00-0027996,00-0029388,2
00-0027996,00-0029597,1
00-0028118,00-0029264,3
00-0028118,00-0029388,3
00-0028118,00-0029597,1
00-0029264,00-0029388,2
00-0029264,00-0029597,1
00-0029388,00-0029597,1
00-0022787,00-0026373,2
00-0022787,00-0026929,1
00-0022787,00-0028536,1
00-0022787,00-0029415,2
00-0022787,00-0029673,2
00-0026373,00-0026929,1
00-0026373,00-0027109,1
00-0026373,00-0028090,1
00-0026373,00-0028536,1
00-0026373,00-0029415,1
00-0026373,00-0029673,1
00-0026929,00-0027109,1
00-0026929,00-0028090,1
00-0026929,00-0028536,1
00-0026929,00-0029415,1
00-0026929,00-0029673,1
00-0027109,00-0028536,1
00-0027109,00-0029415,1
00-0027109,00-0029673,1
00-0028090,00-0028536,1
00-0028090,00-0029415,2
00-0028090,00-0029673,2
00-0028536,00-0029415,1
00-0028536,00-0029673,1
00-0029415,00-0029673,3
00-0022803,00-0026201,1
00-0022803,00-0027036,1
00-0022803,00-0029262,4
00-0026201,00-0027036,1
00-0026201,00-0027265,1
00-0026201,00-0029262,1
00-0027036,00-0027265,1
00-0027036,00-0029262,1
00-0027265,00-0029262,3
00-0022864,00-0026143,1
00-0022864,00-0026224,1
00-0022864,00-0027717,1
00-0022864,00-0027944,1
00-0022864,00-0028083,1
00-0026143,00-0027717,1
00-0026224,00-0027717,1
00-0027717,00-0027944,1
00-0027717,00-0028083,1
00-0022921,00-0026625,1
00-0022921,00-0027067,1
00-0022921,00-0029530,1
00-0022921,00-0029531,2
00-0022921,00-0029546,1
00-0022921,00-0029638,4
00-0026625,00-0027067,1
00-0026625,00-0027691,1
00-0026625,00-0027825,2
00-0026625,00-0027943,1
00-0026625,00-0028074,1
00-0026625,00-0029530,1
00-0026625,00-0029531,1
00-0026625,00-0029546,1
00-0026625,00-0029638,1
00-0027067,00-0027691,1
00-0027067,00-0027825,1
00-0027067,00-0027943,1
00-0027067,00-0028074,1
00-0027067,00-0029530,1
00-0027067,00-0029531,1
00-0027067,00-0029546,1
00-0027067,00-0029638,1
00-0027691,00-0029530,1
00-0027691,00-0029531,1
00-0027691,00-0029546,1
00-0027691,00-0029638,2
00-0027825,00-0029530,1
00-0027825,00-0029531,1
00-0027825,00-0029546,1
00-0027825,00-0029638,2
00-0027943,00-0029530,1
00-0027943,00-0029531,1
00-0027943,00-0029546,1
00-0027943,00-0029638,2
00-0028074,00-0029530,1
00-0028074,00-0029531,1
00-0028074,00-0029546,1
00-0028074,00-0029638,1
00-0029530,00-0029531,1
00-0029530,00-0029546,1
00-0029530,00-0029638,1
00-0029531,00-0029546,1
00-0029531,00-0029638,2
00-0029546,00-0029638,1
00-0022943,00-0026300,1
00-0022943,00-0027253,1
00-0022943,00-0029269,1
00-0022943,00-0029664,1
00-0022943,00-0029677,1
00-0026300,00-0026739,1
00-0026300,00-0027253,1
00-0026300,00-0027688,2
00-0026300,00-0027997,1
00-0026300,00-0029269,1
00-0026300,00-0029664,1
00-0026300,00-0029677,1
00-0026739,00-0027253,1
00-0026739,00-0029269,1
00-0026739,00-0029664,1
00-0026739,00-0029677,1
00-0027253,00-0027688,1
00-0027253,00-0027997,1
00-0027253,00-0029269,1
00-0027253,00-0029664,1
00-0027253,00-0029677,1
00-0027688,00-0029269,1
00-0027688,00-0029664,1
00-0027688,00-0029677,1
00-0027997,00-0029269,2
00-0027997,00-0029664,2
00-0027997,00-0029677,2
00-0029269,00-0029664,3
00-0029269,00-0029677,2
00-0029664,00-0029677,2
00-0022999,00-0028409,2
00-0023459,00-0028409,2
00-0026176,00-0028409,2
00-0028002,00-0028409,2
00-0023436,00-0025513,1
00-0023436,00-0028903,1
00-0023436,00-0029260,1
00-0023500,00-0025513,1
00-0023500,00-0028903,3
00-0023500,00-0029260,2
00-0024221,00-0025513,1
00-0024221,00-0028903,3
00-0024221,00-0029260,2
00-0024389,00-0025513,1
00-0024389,00-0028903,1
00-0024389,00-0029260,1
00-0025396,00-0025513,1
00-0025396,00-0028903,1
00-0025396,00-0029260,1
00-0025513,00-0026986,1
00-0025513,00-0027974,1
00-0025513,00-0028149,1
00-0025513,00-0028903,1
00-0025513,00-0029260,1
00-0026986,00-0028903,3
00-0026986,00-0029260,2
00-0027974,00-0028903,5
00-0027974,00-0029260,2
00-0028149,00-0028903,4
00-0028149,00-0029260,2
00-0028903,00-0029260,2
00-0023441,00-0026932,1
00-0023441,00-0027057,1
00-0023441,00-0027103,1
00-0023441,00-0027873,1
00-0023441,00-0027918,1
00-0023441,00-0027942,1
00-0023441,00-0027973,1
00-0023441,00-0029293,1
00-0023441,00-0029414,1
00-0023441,00-0029632,1
00-0026932,00-0027103,2
00-0026932,00-0029293,2
00-0026932,00-0029414,2
00-0026932,00-0029632,3
00-0027057,00-0027103,2
00-0027057,00-0029293,3
00-0027057,00-0029414,2
00-0027057,00-0029632,4
00-0027103,00-0027873,2
00-0027103,00-0027918,2
00-0027103,00-0027942,2
00-0027103,00-0027973,2
00-0027103,00-0029293,2
00-0027103,00-0029414,2
00-0027103,00-0029632,2
00-0027873,00-0029293,2
00-0027873,00-0029414,2
00-0027873,00-0029632,3
00-0027918,00-0029293,2
00-0027918,00-0029414,2
00-0027918,00-0029632,2
00-0027942,00-0029293,3
00-0027942,00-0029414,2
00-0027942,00-0029632,4
00-0027973,00-0029293,3
00-0027973,00-0029414,2
00-0027973,00-0029632,4
00-0029293,00-0029414,2
00-0029293,00-0029632,4
00-0029414,00-0029632,2
00-0023578,00-0027325,1
00-0023578,00-0027450,1
00-0023578,00-0027654,1
00-0023578,00-0028042,1
00-0023578,00-0029422,1
00-0023578,00-0029613,1
00-0027325,00-0029422,1
00-0027325,00-0029613,1
00-0027450,00-0029422,1
00-0027450,00-0029613,1
00-0027654,00-0029422,1
00-0027654,00-0029613,1
00-0028042,00-0029422,1
00-0028042,00-0029613,4
00-0029422,00-0029613,1
00-0023645,00-0026069,5
00-0023645,00-0027089,1
00-0025418,00-0026069,5
00-0025418,00-0027089,1
00-0026069,00-0026153,5
00-0026069,00-0027089,1
00-0026069,00-0027583,2
00-0026069,00-0027681,2
00-0026069,00-0027939,5
00-0026153,00-0027089,1
00-0027089,00-0027583,1
00-0027089,00-0027681,1
00-0027089,00-0027939,1
00-0023662,00-0028202,1
00-0023662,00-0028581,1
00-0026213,00-0028202,1
00-0026213,00-0028581,1
00-0028202,00-0028581,1
00-0023682,00-0029660,1
00-0026151,00-0029660,1
00-0027861,00-0029660,3
00-0028097,00-0029660,2
00-0023742,00-0028092,1
00-0023742,00-0028180,1
00-0023742,00-0028434,5
00-0023742,00-0028441,1
00-0023742,00-0029159,4
00-0023742,00-0029263,5
00-0023742,00-0029273,2
