ID,name,team,position,college_name,college_conference,fantasy_points
00-0038920,John Samuel Shenker,LV,TE,Auburn,Southeastern Conference,0.0
00-0038933,Dalton Kincaid,BUF,TE,Utah,Pacific Twelve Conference,157.0
00-0038935,Brenton Strange,JAX,TE,Penn State,Big Ten Conference,60.0
00-0038938,Jalin Hyatt,NYG,WR,Tennessee,Southeastern Conference,43.0
00-0038941,Tyler Scott,CHI,WR,Cincinnati,American Athletic Conference,19.0
00-0038951,Sean Tucker,TB,RB,Syracuse,Atlantic Coast Conference,62.0
00-0038976,Marvin Mims,DEN,WR,Oklahoma,Big Twelve Conference,144.0
00-0038977,Tank Dell,HOU,WR,Houston,American Athletic Conference,207.0
00-0038979,Cedric Tillman,CLE,WR,Tennessee,Southeastern Conference,74.0
00-0038981,Wanya Morris,KC,T,Oklahoma,Big Twelve Conference,6.0
00-0038994,Jordan Addison,MIN,WR,Southern California,Pacific Twelve Conference,303.0
00-0038996,Tucker Kraft,GB,TE,South Dakota State,Missouri Valley Football Conference,172.0
00-0038997,Josh Downs,IND,WR,North Carolina,Atlantic Coast Conference,199.0
00-0038998,Jake Haener,NO,QB,Fresno State,Mountain West Conference,13.0
00-0039021,Roschon Johnson,CHI,RB,Texas,Big Twelve Conference,129.0
00-0039032,Tyjae Spears,TEN,RB,Tulane,American Athletic Conference,185.0
00-0039040,Devon Achane,MIA,RB,Texas A&amp;M,Southeastern Conference,388.0
00-0039041,Elijah Higgins,ARI,TE,Stanford,Pacific Twelve Conference,51.0
00-0039050,Payne Durham,TB,TE,Purdue,Big Ten Conference,31.0
00-0039052,Trey Palmer,TB,WR,Nebraska,Big Ten Conference,95.0
00-0039062,Jonathan Mingo,DAL,WR,Mississippi,Southeastern Conference,57.0
00-0039064,Zay Flowers,BAL,WR,Boston College,Atlantic Coast Conference,284.0
00-0039065,Sam LaPorta,DET,TE,Iowa,Big Ten Conference,302.0
00-0039066,Michael Mayer,LV,TE,Notre Dame,Independent,60.0
00-0039067,Rashee Rice,KC,WR,Southern Methodist,American Athletic Conference,207.0
00-0039074,Davis Allen,LA,TE,Clemson,Atlantic Coast Conference,29.0
00-0039075,Puka Nacua,LA,WR,Brigham Young,Independent,359.0
00-0039139,Jahmyr Gibbs,DET,RB,Alabama,Southeastern Conference,562.0
00-0039144,Luke Musgrave,GB,TE,Oregon State,Pacific Twelve Conference,58.0
00-0039146,Jayden Reed,GB,WR,Michigan State,Big Ten Conference,304.0
00-0039150,Bryce Young,CAR,QB,Alabama,Southeastern Conference,351.0
00-0039152,Will Levis,TEN,QB,Kentucky,Southeastern Conference,221.0
00-0039163,C.J. Stroud,HOU,QB,Ohio State,Big Ten Conference,556.0
00-0039164,Anthony Richardson,IND,QB,Florida,Southeastern Conference,235.0
00-0039165,Zach Charbonnet,SEA,RB,UCLA,Pacific Twelve Conference,214.0
00-0039236,Johnny Wilson,PHI,WR,Florida State,Atlantic Coast Conference,9.0
00-0039244,Chris Collier,LV,RB,Lock Haven,Pennsylvania State Athletic Conference,0.0
00-0039299,George Holani,SEA,RB,Boise State,Mountain West Conference,0.0
00-0039316,Baylor Cupp,KC,TE,Texas Tech,Big Twelve Conference,0.0
00-0039325,Carson Steele,KC,RB,UCLA,Pacific Twelve Conference,16.0
00-0039337,Malik Nabers,NYG,WR,Louisiana State,Southeastern Conference,164.0
00-0039338,Brock Bowers,LV,TE,Georgia,Southeastern Conference,150.0
00-0039342,Xavier Legette,CAR,WR,South Carolina,Southeastern Conference,76.0
00-0039344,Jonathon Brooks,CAR,RB,Texas,Big Twelve Conference,4.0
00-0039355,Luke McCaffrey,WAS,WR,Rice,American Athletic Conference,16.0
00-0039356,Ja'Tavion Sanders,CAR,TE,Texas,Big Twelve Conference,40.0
00-0039359,Cade Stover,HOU,TE,Ohio State,Big Ten Conference,22.0
00-0039361,Bucky Irving,TB,RB,Oregon,Pacific Twelve Conference,211.0
00-0039363,Isaac Guerendo,SF,RB,Louisville,Atlantic Coast Conference,81.0
00-0039364,Sione Vaki,DET,RB,Utah,Pacific Twelve Conference,5.0
00-0039365,Jacob Cowing,SF,WR,Arizona,Pacific Twelve Conference,8.0
00-0039373,Audric Estime,DEN,RB,Notre Dame,Independent,43.0
00-0039376,Spencer Rattler,NO,QB,South Carolina,Southeastern Conference,67.0
00-0039379,Jamari Thrash,CLE,WR,Louisville,Atlantic Coast Conference,2.0
00-0039384,Tyrone Tracy,NYG,RB,Purdue,Big Ten Conference,144.0
00-0039386,Bub Means,NO,WR,Pittsburgh,Atlantic Coast Conference,17.0
00-0039391,Kimani Vidal,LAC,RB,Troy,Sun Belt Conference,27.0
00-0039392,Jha'Quan Jackson,TEN,WR,Tulane,American Athletic Conference,0.0
00-0039393,Jase McClellan,ATL,RB,Alabama,Southeastern Conference,3.0
00-0039394,Casey Washington,ATL,WR,Illinois,Big Ten Conference,1.0
00-0039398,Joe Milton,NE,QB,Tennessee,Southeastern Conference,19.0
00-0039407,Dylan Laube,LV,RB,New Hampshire,Colonial Athletic Association,-2.0
00-0039410,Ryan Flournoy,DAL,WR,Southeast Missouri,Big South - Ohio Valley Conference,8.0
00-0039420,Jaheim Bell,NE,TE,Florida State,Atlantic Coast Conference,2.0
00-0039424,Devaughn Vele,DEN,WR,Utah,Pacific Twelve Conference,65.0
00-0039451,Isaiah Williams,DET,WR,Illinois,Big Ten Conference,0.0
00-0039458,Brenden Bates,CLE,TE,Kentucky,Southeastern Conference,0.0
00-0039491,Jalen Coker,CAR,WR,Holy Cross,Patriot League,60.0
00-0039521,Xavier Weaver,ARI,WR,Colorado,Pacific Twelve Conference,0.0
00-0039530,Brevyn Spann-Ford,DAL,TE,Minnesota,Big Ten Conference,8.0
00-0039543,Ramel Keyton,LV,WR,Tennessee,Southeastern Conference,0.0
00-0039573,Blake Watson,DEN,RB,Memphis,American Athletic Conference,2.0
00-0039589,Kameron Johnson,TB,WR,Barton College,Independent,1.0
00-0039603,British Brooks,HOU,RB,North Carolina,Atlantic Coast Conference,0.0
00-0039611,Matthew Hayball,NO,P,Vanderbilt,Southeastern Conference,1.0
00-0039613,Dallin Holker,NO,TE,Colorado State,Mountain West Conference,2.0
00-0039614,Jermaine Jackson,NO,WR,Idaho,Big Sky Conference,0.0
00-0039617,Jacob Kibodi,CLE,RB,Louisiana-Lafayette,Sun Belt Conference,3.0
00-0039623,Mason Tipton,NO,WR,Yale,Ivy League,9.0
00-0039631,Cam Grandy,CIN,TE,Illinois State,Missouri Valley Football Conference,2.0
00-0039648,David Martin-Robinson,TEN,TE,Temple,American Athletic Conference,0.0
00-0039650,Bryce Oliver,TEN,WR,Youngstown State,Missouri Valley Football Conference,9.0
00-0039692,Dell Pettus,NE,FS,Troy,Sun Belt Conference,0.0
00-0039703,Cody Schrader,LA,RB,Missouri,Southeastern Conference,0.0
00-0039731,J.C. Latham,TEN,T,Alabama,Southeastern Conference,0.0
00-0039732,Bo Nix,DEN,QB,Oregon,Pacific Twelve Conference,330.0
00-0039737,Tip Reiman,ARI,TE,Illinois,Big Ten Conference,3.0
00-0039738,Blake Corum,LA,RB,Michigan,Big Ten Conference,26.0
00-0039746,Will Shipley,PHI,RB,Clemson,Atlantic Coast Conference,25.0
00-0039747,Ainias Smith,PHI,WR,Texas A&amp;M,Southeastern Conference,10.0
00-0039751,Jordan Whittington,LA,WR,Texas,Big Twelve Conference,31.0
00-0039754,Devin Culp,TB,TE,Washington,Pacific Twelve Conference,8.0
00-0039757,Terrell Jennings,NE,RB,Florida A&amp;M,Southwestern Athletic Conference,3.0
00-0039792,Devontez Walker,BAL,WR,North Carolina,Atlantic Coast Conference,8.0
00-0039793,A.J. Barner,SEA,TE,Michigan,Big Ten Conference,48.0
00-0039794,Braelon Allen,NYJ,RB,Wisconsin,Big Ten Conference,66.0
00-0039796,Rasheen Ali,BAL,RB,Marshall,Sun Belt Conference,3.0
00-0039798,Isaiah Davis,NYJ,RB,South Dakota State,Missouri Valley Football Conference,36.0
00-0039810,Jermaine Burton,CIN,WR,Alabama,Southeastern Conference,10.0
00-0039811,MarShawn Lloyd,GB,RB,Southern California,Pacific Twelve Conference,1.0
00-0039814,Erick All,CIN,TE,Iowa,Big Ten Conference,15.0
00-0039816,Anthony Gould,IND,WR,Oregon State,Pacific Twelve Conference,2.0
00-0039824,Jared Wiley,KC,TE,Texas Christian,Big Twelve Conference,0.0
00-0039825,Jaden Hicks,KC,SS,Washington State,Pacific Twelve Conference,0.0
00-0039847,Theo Johnson,NYG,TE,Penn State,Big Ten Conference,39.0
00-0039849,Marvin Harrison,ARI,WR,Ohio State,Big Ten Conference,134.0
00-0039851,Drake Maye,NE,QB,North Carolina,Atlantic Coast Conference,177.0
00-0039853,Javon Baker,NE,WR,Central Florida,Big Twelve Conference,1.0
00-0039855,Jalen McMillan,TB,WR,Washington,Pacific Twelve Conference,102.0
00-0039868,Troy Franklin,DEN,WR,Oregon,Pacific Twelve Conference,50.0
00-0039874,Jaylen Wright,MIA,RB,Tennessee,Southeastern Conference,23.0
00-0039875,Ray Davis,BUF,RB,Kentucky,Southeastern Conference,108.0
00-0039880,Malik Washington,MIA,WR,Virginia,Atlantic Coast Conference,30.0
00-0039890,Adonai Mitchell,IND,WR,Texas,Big Twelve Conference,30.0
00-0039893,Brian Thomas,JAX,WR,Louisiana State,Southeastern Conference,197.0
00-0039894,Xavier Worthy,KC,WR,Texas,Big Twelve Conference,175.0
00-0039901,Keon Coleman,BUF,WR,Florida State,Atlantic Coast Conference,86.0
00-0039907,Ja'Lynn Polk,NE,WR,Washington,Pacific Twelve Conference,20.0
00-0039910,Jayden Daniels,WAS,QB,Louisiana State,Southeastern Conference,428.0
00-0039912,Ben Sinnott,WAS,TE,Kansas State,Big Twelve Conference,11.0
00-0039915,Ladd McConkey,LAC,WR,Georgia,Southeastern Conference,184.0
00-0039916,Ricky Pearsall,SF,WR,Florida,Southeastern Conference,62.0
00-0039917,Michael Penix,ATL,QB,Washington,Pacific Twelve Conference,44.0
00-0039918,Caleb Williams,CHI,QB,Southern California,Pacific Twelve Conference,254.0
00-0039919,Rome Odunze,CHI,WR,Washington,Pacific Twelve Conference,90.0
00-0039920,Malachi Corley,NYJ,WR,Western Kentucky,Conference USA,4.0
00-0039921,Trey Benson,ARI,RB,Florida State,Atlantic Coast Conference,41.0
