ID,name,team,position,college_name,college_conference,fantasy_points
00-0036244,Colby Parkinson,LA,TE,Stanford,Pacific Twelve Conference,130.0
00-0036251,Zack Moss,CIN,RB,Utah,Pacific Twelve Conference,429.0
00-0036252,Michael Pittman,IND,WR,Southern California,Pacific Twelve Conference,577.0
00-0036254,Collin Johnson,CHI,WR,Texas,Big Twelve Conference,53.0
00-0036259,Jauan Jennings,SF,WR,Tennessee,Southeastern Conference,304.0
00-0036261,Brandon Aiyuk,SF,WR,Arizona State,Pacific Twelve Conference,645.0
00-0036264,Jordan Love,GB,QB,Utah State,Mountain West Conference,626.0
00-0036268,Laviska Shenault Jr.,SEA,WR,Colorado,Pacific Twelve Conference,230.0
00-0036275,D'Andre Swift,CHI,RB,Georgia,Southeastern Conference,773.0
00-0036290,Cole Kmet,CHI,TE,Notre Dame,Independent,375.0
00-0036297,Darrynton Evans,CHI,RB,Appalachian State,Sun Belt Conference,49.0
00-0036309,Darnell Mooney,ATL,WR,Tulane,American Athletic Conference,468.0
00-0036322,Justin Jefferson,MIN,WR,Louisiana State,Southeastern Conference,1010.0
00-0036328,Antonio Gibson,NE,RB,Memphis,American Athletic Conference,636.0
00-0036329,Ashtyn Davis,NYJ,SS,California,Pacific Twelve Conference,2.0
00-0036331,Devin Duvernay,JAX,WR,Texas,Big Twelve Conference,167.0
00-0036332,Josiah Deguara,JAX,TE,Cincinnati,American Athletic Conference,57.0
00-0036345,K.J. Osborn,NE,WR,Miami,Atlantic Coast Conference,295.0
00-0036355,Justin Herbert,LAC,QB,Oregon,Pacific Twelve Conference,1535.0
00-0036358,CeeDee Lamb,DAL,WR,Oklahoma,Big Twelve Conference,963.0
00-0036360,Clyde Edwards-Helaire,NO,RB,Louisiana State,Southeastern Conference,410.0
00-0036370,Joshua Kelley,TEN,RB,UCLA,Pacific Twelve Conference,177.0
00-0036387,Jalen Reagor,LAC,WR,Texas Christian,Big Twelve Conference,149.0
00-0036389,Jalen Hurts,PHI,QB,Oklahoma,Big Twelve Conference,1676.0
00-0036407,Jerry Jeudy,CLE,WR,Alabama,Southeastern Conference,528.0
00-0036410,Tee Higgins,CIN,WR,Clemson,Atlantic Coast Conference,730.0
00-0036414,Cam Akers,MIN,RB,Florida State,Atlantic Coast Conference,401.0
00-0036415,Van Jefferson,PIT,WR,Florida,Southeastern Conference,293.0
00-0036422,Adam Trautman,DEN,TE,Dayton,Pioneer Football League,155.0
00-0036425,DeeJay Dallas,ARI,RB,Miami,Atlantic Coast Conference,133.0
00-0036427,Tyler Johnson,LA,WR,Minnesota,Big Ten Conference,114.0
